time,waiting_passenger_cnt,fail_passenger_cnt,empty_vehicle_cnt,driving_vehicle_cnt,iter_time(second)
360,0,0,16,14,
361,0,0,12,18,
362,0,0,7,23,
363,0,0,6,24,
364,0,0,4,26,
365,0,0,3,27,
366,1,0,1,29,
367,2,0,0,30,
368,5,0,0,30,
369,5,0,0,30,
370,9,0,0,30,
371,13,0,0,30,
372,13,0,0,30,
373,14,0,0,30,
374,16,0,0,30,
375,16,0,0,30,
376,18,0,0,30,
377,20,0,0,30,
378,22,0,0,30,
379,23,0,0,30,
380,25,0,0,30,
381,28,0,0,30,
382,28,0,0,30,
383,29,0,0,30,
384,30,0,0,30,
385,30,0,0,30,
386,32,0,0,30,
387,32,0,0,30,
388,31,0,0,30,
389,31,0,0,30,
390,38,0,0,30,
391,38,0,0,30,
392,38,0,0,30,
393,40,0,0,30,
394,42,0,0,30,
395,45,0,0,30,
396,44,1,0,30,
397,45,2,0,30,
398,41,5,0,30,
399,41,5,0,30,
400,38,9,0,30,
401,35,13,0,30,
402,38,13,0,30,
403,39,14,0,30,
404,35,16,0,30,
405,34,16,0,30,
406,30,18,0,30,
407,28,20,0,30,
408,27,22,0,30,
409,28,23,0,30,
410,26,25,0,30,
411,27,28,0,30,
412,26,28,0,30,
413,28,29,0,30,
414,31,30,0,30,
415,32,30,0,30,
416,33,31,0,30,
417,39,31,0,30,
418,43,31,0,30,
419,48,31,0,30,
420,0,38,12,228,
421,0,38,3,236,
422,5,38,0,239,
423,12,38,0,239,
424,17,38,0,239,
425,25,38,0,239,
426,34,38,0,239,
427,41,38,0,239,
428,51,38,0,238,
429,58,38,0,238,
430,69,38,0,237,
431,77,38,0,237,
432,82,38,0,237,
433,86,38,0,237,
434,95,38,0,237,
435,98,38,0,237,
436,102,38,0,237,
437,108,38,0,237,
438,113,38,0,237,
439,126,38,0,237,
440,149,38,0,236,
441,154,38,0,236,
442,164,38,0,236,
443,173,38,0,236,
444,180,38,0,236,
445,187,38,0,236,
446,196,38,0,236,
447,203,38,0,236,
448,216,38,0,236,
449,217,38,0,236,
450,234,38,0,236,
451,244,38,0,236,
452,247,43,0,236,
453,246,50,0,236,
454,244,55,0,235,
455,238,63,0,235,
456,233,72,0,235,
457,228,79,0,235,
458,219,89,0,235,
459,215,96,0,235,
460,230,107,0,235,
461,225,115,0,235,
462,227,120,0,235,
463,231,124,0,235,
464,223,133,0,235,
465,227,136,0,235,
466,218,140,0,235,
467,211,146,0,235,
468,212,151,0,235,
469,202,164,0,235,
470,193,187,0,235,
471,199,192,0,235,
472,194,202,0,235,
473,194,211,0,235,
474,185,218,0,234,
475,180,225,0,234,
476,176,234,0,234,
477,175,241,0,234,
478,170,254,0,234,
479,180,255,0,233,
480,192,272,0,322,
481,186,282,0,322,
482,182,290,0,322,
483,180,296,0,322,
484,179,299,0,322,
485,180,301,0,322,
486,180,305,0,322,
487,177,306,0,322,
488,182,308,0,322,
489,186,311,0,322,
490,165,337,0,322,
491,166,340,0,322,
492,162,347,0,322,
493,158,355,0,322,
494,156,356,0,322,
495,155,357,0,322,
496,159,357,0,322,
497,161,357,0,322,
498,153,363,0,322,
499,152,366,0,322,
500,153,380,0,322,
501,144,391,0,322,
502,141,396,0,322,
503,133,403,0,322,
504,132,403,0,322,
505,132,405,0,322,
506,130,410,0,322,
507,132,416,0,322,
508,124,424,0,322,
509,110,433,0,322,
510,85,464,0,322,
511,84,468,0,322,
512,82,472,0,322,
513,81,476,0,322,
514,82,478,0,322,
515,78,481,0,322,
516,71,483,0,322,
517,73,483,0,322,
518,65,490,0,321,
519,62,497,0,321,
520,66,502,0,321,
521,60,506,0,321,
522,54,509,0,321,
523,47,511,0,321,
524,44,511,0,321,
525,41,512,0,321,
526,33,516,0,321,
527,34,516,0,321,
528,30,516,0,321,
529,28,518,0,321,
530,17,533,0,321,
531,19,535,0,320,
532,16,535,0,320,
533,19,535,0,320,
534,14,535,0,320,
535,12,537,0,320,
536,10,540,0,320,
537,8,541,0,320,
538,4,541,2,317,
539,7,541,0,319,
540,3,543,4,323,
541,3,543,5,322,
542,1,543,2,325,
543,3,543,0,327,
544,3,543,0,327,
545,3,543,1,326,
546,2,543,0,327,
547,8,543,0,327,
548,7,543,0,327,
549,8,543,3,324,
550,12,543,1,326,
551,11,543,1,326,
552,8,543,1,326,
553,7,543,1,326,
554,6,543,2,325,
555,6,543,1,326,
556,7,543,1,326,
557,4,543,1,326,
558,0,543,1,326,
559,0,543,9,318,
560,0,543,11,316,
561,0,543,7,320,
562,0,543,14,313,
563,0,543,13,314,
564,0,543,14,313,
565,0,543,14,313,
566,0,543,16,311,
567,0,543,18,309,
568,0,543,18,309,
569,0,543,23,304,
570,0,543,19,308,
571,0,543,20,307,
572,0,543,18,309,
573,0,543,15,312,
574,0,543,13,314,
575,0,543,11,316,
576,0,543,10,317,
577,0,543,7,320,
578,0,543,3,324,
579,0,543,2,325,
580,3,543,0,327,
581,1,543,0,327,
582,4,543,0,327,
583,6,543,0,327,
584,1,543,0,327,
585,4,543,0,327,
586,1,543,0,327,
587,4,543,0,327,
588,4,543,0,327,
589,7,543,3,324,
590,9,543,0,327,
591,7,543,0,327,
592,10,543,0,327,
593,6,543,0,327,
594,9,543,0,327,
595,8,543,0,327,
596,10,543,0,327,
597,7,543,0,327,
598,10,543,0,327,
599,14,543,0,327,
600,31,543,0,386,
601,32,543,0,386,
602,31,543,0,386,
603,33,543,0,386,
604,38,543,0,386,
605,40,543,0,386,
606,41,543,0,386,
607,44,543,0,386,
608,44,543,0,386,
609,36,543,0,386,
610,39,543,0,386,
611,31,543,0,386,
612,36,543,0,386,
613,30,543,0,386,
614,32,543,0,386,
615,25,543,0,386,
616,29,543,0,386,
617,28,546,0,386,
618,34,547,0,386,
619,33,549,0,386,
620,39,549,0,386,
621,37,549,0,386,
622,45,549,0,386,
623,46,549,0,386,
624,46,550,0,386,
625,47,550,0,386,
626,49,550,0,386,
627,55,550,0,386,
628,57,552,0,386,
629,53,557,0,386,
630,46,568,0,386,
631,47,568,0,386,
632,46,568,0,386,
633,46,568,0,386,
634,38,568,0,386,
635,40,568,0,386,
636,42,568,0,386,
637,42,568,0,386,
638,38,568,0,386,
639,38,568,0,386,
640,48,568,0,386,
641,43,568,0,386,
642,44,568,0,386,
643,41,568,0,386,
644,43,568,0,386,
645,40,568,0,386,
646,36,572,0,386,
647,37,574,0,386,
648,30,581,0,386,
649,35,582,0,386,
650,29,586,0,386,
651,33,586,0,386,
652,24,594,0,386,
653,27,595,0,386,
654,35,595,0,386,
655,30,595,0,386,
656,28,598,0,386,
657,20,603,0,386,
658,21,603,0,386,
659,23,603,0,386,
660,31,603,0,388,
661,30,603,0,388,
662,34,603,0,388,
663,32,603,0,388,
664,31,603,0,388,
665,30,604,0,388,
666,30,604,0,388,
667,32,604,0,388,
668,31,604,0,388,
