scenario,realization,save_path,n,request_failure_pct,service_delay_pct,avg_wait_min,elapsed_min
Cs_ctrl_split2,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_ctrl_split2_r0/simulation_1,5931,0.0,3.591,10.28,1.2
Cs_C1i1,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r0/simulation_3,5931,19.845,34.308,25.976,0.8
Cs_C2i21,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i21_r0/simulation_3,5931,2.495,11.153,14.237,1.0
Cs_C2i20,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i20_r0/simulation_3,5931,1.265,10.878,13.994,1.0
Cs_C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i23_r0/simulation_3,5931,4.552,11.959,14.6,1.0
Cs_C2i24,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i24_r0/simulation_3,5927,7.289,14.34,15.794,1.0
Cs_C2i22,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i22_r0/simulation_3,5931,1.265,10.861,14.128,1.0
Cs_C2i25,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i25_r0/simulation_3,5928,8.316,17.939,18.008,1.1
Cs_C1i1,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r0/simulation_4,5924,24.274,38.141,27.386,1.0
Cs_C2i24,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i24_r0/simulation_4,5924,6.87,13.504,15.514,1.0
Cs_C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i23_r0/simulation_4,5924,5.047,12.516,14.759,1.0
Cs_C2i25,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i25_r0/simulation_4,5924,10.061,19.726,18.604,1.1
Cs_C1i1,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r0/simulation_5,5924,24.021,34.481,25.991,0.9
Cs_C2i21,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i21_r0/simulation_4,5924,6.921,12.568,14.944,1.0
Cs_C2i20,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i20_r0/simulation_4,5924,8.39,17.1,17.292,1.0
Cs_C2i22,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i22_r0/simulation_4,5924,5.317,12.89,15.042,1.0
Cs_C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i23_r0/simulation_5,5924,4.828,13.054,15.418,1.0
CsD_C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/CsD_C2i23_r0/simulation_1,4569,0.285,8.341,12.705,0.9
Cs_C1i1,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r0/simulation_6,5924,24.021,34.481,25.991,1.0
BCsD_C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_C2i23_r0/simulation_1,4569,0.153,5.984,11.574,1.0
Cs_C2i20,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i20_r0/simulation_5,5924,8.39,17.1,17.292,1.2
