scenario,kpi,mean,sd,cv_%,ci_lo,ci_hi
baseline,request_failure_%,24.25525566460864,1.7057991525956768,7.032699123780603,23.03508523752288,25.475426091694402
baseline,service_delay_%,33.805557136300585,3.370118025106488,9.969124341061777,31.394887425410946,36.21622684719023
baseline,avg_wait_min,25.572710171222433,1.3660901560346415,5.341984274986758,24.595536037567825,26.54988430487704
Scenario_A-1,request_failure_%,9.220240562540287,1.0447716423809132,11.331283986510934,8.47290787735799,9.967573247722584
Scenario_A-1,service_delay_%,12.414956656841998,1.235011815500777,9.947773879823822,11.531543804817483,13.298369508866513
Scenario_A-1,avg_wait_min,15.009269960802925,0.6210961084803258,4.138083398475299,14.564995438334936,15.453544483270914
Scenario_A-2,request_failure_%,5.257018360378429,0.5956883194836149,11.331296157785038,4.830918212486864,5.6831185082699935
Scenario_A-2,service_delay_%,8.35159925340492,1.5549565490095065,18.61866813563349,7.239327627746274,9.463870879063567
Scenario_A-2,avg_wait_min,12.838793192322768,0.8039765872282354,6.262088462558852,12.263702945436151,13.413883439209386
Scenario_B,request_failure_%,19.210907927741,1.4586824458035859,7.5929906659810396,18.167501861927025,20.254313993554977
Scenario_B,service_delay_%,20.752570860656686,2.21515311824307,10.67411422477116,19.168055871166793,22.33708585014658
Scenario_B,avg_wait_min,20.053331126724267,0.858245261880161,4.2798139444095264,19.439422105759437,20.667240147689096
Scenario_C,request_failure_%,4.822079001552475,0.9583788201303228,19.874805448475055,4.136543724735777,5.507614278369173
Scenario_C,service_delay_%,8.425066822576943,0.8845854291284874,10.499447040087958,7.792316490152909,9.057817155000977
Scenario_C,avg_wait_min,12.51242811377,0.42376509977343785,3.3867535215413698,12.209305883941365,12.815550343598634
Scenario_D,request_failure_%,12.447797470653242,1.2971575135228919,10.420779391543384,11.519931352966237,13.375663588340247
Scenario_D,service_delay_%,18.262018968826055,3.9705154175071353,21.74193020106349,15.421880676250279,21.102157261401832
Scenario_D,avg_wait_min,18.112322474286138,1.8695843893470077,10.322168192407329,16.774995286996155,19.44964966157612
Scenario_E,request_failure_%,0.7789709773636162,0.6972518682668253,89.50935125036818,0.2802216910863386,1.2777202636408937
Scenario_E,service_delay_%,3.5277342748794354,0.6524082569798227,18.493690458080764,3.061061946931553,3.9944066028273175
Scenario_E,avg_wait_min,9.97859962448382,0.33350079631513313,3.342160311721943,9.740044101429383,10.217155147538257
