time,waiting_passenger_cnt,fail_passenger_cnt,empty_vehicle_cnt,driving_vehicle_cnt,iter_time(second)
360,0,0,20,10,
361,0,0,16,14,
362,0,0,11,19,
363,0,0,8,22,
364,0,0,6,24,
365,0,0,4,26,
366,0,0,3,27,
367,0,0,1,29,
368,0,0,1,29,
369,2,0,1,29,
370,3,0,1,29,
371,3,0,0,30,
372,4,0,0,30,
373,4,0,0,30,
374,4,0,0,30,
375,4,0,0,30,
376,6,0,0,30,
377,7,0,0,30,
378,8,0,0,30,
379,11,0,0,30,
380,13,0,0,30,
381,13,0,0,30,
382,13,0,0,30,
383,13,0,0,30,
384,13,0,0,30,
385,14,0,0,30,
386,15,0,0,30,
387,15,0,0,30,
388,16,0,0,30,
389,17,0,0,30,
390,25,0,0,30,
391,25,0,0,30,
392,27,0,0,30,
393,32,0,0,30,
394,31,0,0,30,
395,31,0,0,30,
396,32,0,0,30,
397,32,0,0,30,
398,36,0,0,30,
399,35,2,0,30,
400,41,3,0,30,
401,44,3,0,30,
402,45,4,0,30,
403,47,4,0,30,
404,48,4,0,30,
405,46,4,0,30,
406,43,6,0,30,
407,46,7,0,30,
408,46,8,0,30,
409,46,11,0,30,
410,53,13,0,30,
411,55,13,0,30,
412,57,13,0,30,
413,59,13,0,30,
414,59,13,0,30,
415,67,14,0,30,
416,71,15,0,30,
417,77,15,0,30,
418,80,16,0,30,
419,82,17,0,30,
420,3,25,2,238,
421,13,25,0,240,
422,20,26,0,240,
423,22,28,0,240,
424,28,28,0,240,
425,41,28,0,239,
426,49,28,0,239,
427,58,28,0,239,
428,63,28,0,239,
429,72,28,0,239,
430,87,28,0,239,
431,91,28,0,239,
432,96,28,0,238,
433,99,28,0,238,
434,103,28,0,238,
435,114,28,0,238,
436,124,28,0,238,
437,131,28,0,238,
438,139,28,0,238,
439,147,28,0,238,
440,178,28,0,238,
441,189,28,0,238,
442,202,28,0,238,
443,216,28,0,238,
444,229,28,0,238,
445,240,28,0,238,
446,251,28,0,238,
447,259,28,0,238,
448,267,28,0,238,
449,274,28,0,238,
450,304,28,0,238,
451,299,38,0,238,
452,300,46,0,238,
453,304,50,0,238,
454,302,56,0,238,
455,303,69,0,238,
456,305,77,0,238,
457,307,86,0,238,
458,304,91,0,238,
459,294,100,0,238,
460,298,115,0,238,
461,297,119,0,238,
462,302,124,0,238,
463,304,127,0,238,
464,302,131,0,238,
465,297,142,0,238,
466,297,152,0,238,
467,295,159,0,236,
468,299,167,0,236,
469,294,175,0,236,
470,280,206,0,236,
471,272,217,0,236,
472,265,230,0,236,
473,254,244,0,236,
474,241,257,0,236,
475,237,268,0,236,
476,226,279,0,236,
477,227,287,0,235,
478,221,295,0,235,
479,218,302,0,234,
480,214,332,0,323,
481,211,337,0,323,
482,207,346,0,323,
483,207,354,0,323,
484,212,358,0,323,
485,203,372,0,323,
486,192,382,0,323,
487,184,393,0,323,
488,183,394,0,323,
489,183,394,0,323,
490,169,413,0,323,
491,169,416,0,323,
492,159,426,0,323,
493,158,430,0,323,
494,152,433,0,323,
495,152,439,0,323,
496,151,449,0,323,
497,147,454,0,323,
498,142,466,0,323,
499,142,469,0,323,
500,133,486,0,323,
501,130,489,0,323,
502,129,495,0,322,
503,130,496,0,322,
504,131,498,0,322,
505,131,505,0,322,
506,129,505,0,322,
507,118,514,0,322,
508,119,516,0,322,
509,116,520,0,322,
510,93,546,0,322,
511,97,548,0,322,
512,97,553,0,322,
513,95,561,0,322,
514,89,570,0,322,
515,84,574,0,322,
516,87,574,0,322,
517,84,577,0,322,
518,85,577,0,322,
519,81,577,0,322,
520,82,582,0,322,
521,75,585,0,322,
522,77,585,0,322,
523,75,585,0,322,
524,68,585,0,321,
525,61,591,0,321,
526,52,599,0,321,
527,48,601,0,321,
528,36,608,0,321,
529,30,611,0,321,
530,22,619,0,321,
531,18,619,0,321,
532,14,624,0,320,
533,10,626,0,320,
534,6,629,0,320,
535,4,630,1,319,
536,5,630,3,317,
537,4,630,5,315,
538,2,632,8,312,
539,4,633,8,312,
540,6,634,5,323,
541,8,634,3,325,
542,3,634,4,324,
543,3,634,3,325,
544,1,634,4,324,
545,3,634,6,322,
546,5,634,6,322,
547,2,634,6,322,
548,1,634,7,321,
549,2,634,5,323,
550,3,634,3,325,
551,1,634,3,325,
552,0,634,4,324,
553,0,634,1,327,
554,7,634,0,328,
555,8,634,0,328,
556,6,634,0,328,
557,6,634,0,328,
558,6,634,0,328,
559,4,634,1,327,
560,1,634,2,326,
561,2,634,1,327,
562,0,634,2,326,
563,0,634,4,324,
564,0,634,3,325,
565,0,634,3,325,
566,0,634,3,325,
567,0,634,8,320,
568,0,634,7,321,
569,0,634,4,324,
570,0,634,0,328,
571,2,634,0,328,
572,4,634,0,328,
573,4,634,0,328,
574,3,634,0,328,
575,6,634,0,328,
576,0,634,1,327,
577,0,634,3,325,
578,0,634,1,327,
579,0,634,0,328,
580,3,634,0,328,
581,6,634,0,328,
582,1,634,0,328,
583,4,634,1,327,
584,4,634,1,327,
585,2,634,1,327,
586,1,634,1,327,
587,4,634,0,328,
588,2,634,0,328,
589,0,634,2,326,
590,0,634,3,325,
591,0,634,5,323,
592,0,634,7,321,
593,0,634,8,320,
594,0,634,11,317,
595,0,634,13,315,
596,0,634,13,315,
597,0,634,16,312,
598,0,634,12,315,
599,0,634,12,315,
600,12,634,0,386,
601,15,634,0,386,
602,13,634,0,386,
603,11,634,0,386,
604,12,634,0,386,
605,15,634,0,386,
606,17,634,0,386,
607,14,634,0,386,
608,17,634,0,386,
609,17,634,0,386,
610,20,634,0,386,
611,22,634,0,386,
612,23,634,0,386,
613,26,634,0,386,
614,28,634,0,386,
615,30,634,0,386,
616,34,634,0,386,
617,30,634,0,386,
618,28,634,0,386,
619,25,634,0,386,
620,30,634,0,386,
621,35,634,0,386,
622,31,634,0,386,
623,34,634,0,386,
624,39,634,0,386,
625,42,634,0,386,
626,39,634,0,386,
627,39,634,0,386,
628,39,634,0,386,
629,39,634,0,386,
630,31,645,0,386,
631,30,645,0,386,
632,34,645,0,386,
633,37,645,0,386,
634,32,646,0,386,
635,26,647,0,386,
636,30,647,0,386,
637,29,647,0,386,
638,29,649,0,386,
639,24,649,0,386,
640,21,651,0,386,
641,19,653,0,386,
642,14,654,0,386,
643,11,656,0,386,
644,7,657,0,386,
645,8,659,0,386,
646,12,659,0,386,
647,14,659,0,386,
