time,waiting_passenger_cnt,fail_passenger_cnt,empty_vehicle_cnt,driving_vehicle_cnt,iter_time(second)
360,0,0,19,11,
361,0,0,14,16,
362,0,0,10,20,
363,0,0,2,28,
364,4,0,1,29,
365,4,0,1,29,
366,5,0,1,29,
367,5,0,1,29,
368,5,0,1,29,
369,5,0,1,29,
370,6,0,1,29,
371,6,0,1,29,
372,6,0,1,29,
373,8,0,1,29,
374,9,0,1,29,
375,10,0,1,29,
376,10,0,1,29,
377,11,0,0,30,
378,11,0,0,30,
379,14,0,0,30,
380,16,0,0,30,
381,18,0,0,30,
382,18,0,0,30,
383,19,0,0,30,
384,20,0,0,30,
385,21,0,0,30,
386,22,0,0,30,
387,22,0,0,30,
388,23,0,0,30,
389,23,0,0,30,
390,36,0,0,30,
391,38,0,0,30,
392,42,0,0,30,
393,42,0,0,30,
394,39,4,0,30,
395,41,4,0,30,
396,41,5,0,30,
397,41,5,0,30,
398,43,5,0,30,
399,47,5,0,30,
400,44,6,0,30,
401,44,6,0,30,
402,44,6,0,30,
403,43,8,0,30,
404,42,9,0,30,
405,44,10,0,30,
406,46,10,0,30,
407,47,11,0,30,
408,49,11,0,30,
409,49,14,0,30,
410,55,16,0,30,
411,58,18,0,30,
412,62,18,0,30,
413,62,19,0,30,
414,69,20,0,30,
415,72,21,0,30,
416,78,22,0,30,
417,83,22,0,30,
418,83,23,0,30,
419,87,23,0,30,
420,6,36,0,240,
421,14,38,0,240,
422,20,42,0,240,
423,31,42,0,240,
424,38,42,0,240,
425,49,42,0,239,
426,53,42,0,239,
427,58,42,0,239,
428,65,42,0,239,
429,71,42,0,239,
430,89,42,0,239,
431,93,42,0,238,
432,97,42,0,237,
433,100,42,0,236,
434,104,42,0,236,
435,114,42,0,236,
436,125,42,0,236,
437,135,42,0,236,
438,148,42,0,236,
439,156,42,0,236,
440,179,42,0,236,
441,186,42,0,236,
442,201,42,0,236,
443,213,42,0,235,
444,223,42,0,235,
445,234,42,0,235,
446,243,42,0,235,
447,251,42,0,235,
448,260,42,0,235,
449,260,42,0,235,
450,283,42,0,235,
451,281,52,0,235,
452,282,62,0,235,
