time,waiting_passenger_cnt,fail_passenger_cnt,empty_vehicle_cnt,driving_vehicle_cnt,iter_time(second)
360,0,0,18,12,
361,0,0,12,18,
362,0,0,5,25,
363,0,0,1,29,
364,0,0,1,29,
365,0,0,0,30,
366,1,0,0,30,
367,3,0,0,30,
368,3,0,0,30,
369,3,0,0,30,
370,4,0,0,30,
371,5,0,0,30,
372,6,0,0,30,
373,6,0,0,30,
374,8,0,0,30,
375,9,0,0,30,
376,10,0,0,30,
377,11,0,0,30,
378,11,0,0,30,
379,11,0,0,30,
380,12,0,0,30,
381,12,0,0,30,
382,12,0,0,30,
383,12,0,0,30,
384,13,0,0,30,
385,13,0,0,30,
386,15,0,0,30,
387,15,0,0,30,
388,15,0,0,30,
389,15,0,0,30,
390,18,0,0,30,
391,21,0,0,30,
392,20,0,0,30,
393,23,0,0,30,
394,23,0,0,30,
395,23,0,0,30,
396,24,1,0,30,
397,23,3,0,30,
398,22,3,0,30,
399,22,3,0,30,
400,21,4,0,30,
401,20,5,0,30,
402,17,6,0,30,
403,18,6,0,30,
404,20,8,0,30,
405,21,9,0,30,
406,20,10,0,30,
407,20,11,0,30,
408,20,11,0,30,
409,22,11,0,30,
410,24,12,0,30,
411,26,12,0,30,
412,28,12,0,30,
413,31,12,0,30,
414,33,13,0,30,
415,35,13,0,30,
416,36,15,0,30,
417,38,15,0,30,
418,41,15,0,29,
419,45,15,0,29,
420,0,18,27,212,
421,0,18,14,225,
422,0,18,4,235,
423,2,18,0,239,
424,8,18,0,239,
425,17,18,0,239,
426,29,18,0,239,
427,37,18,0,239,
428,45,18,0,239,
429,49,18,0,239,
430,62,18,0,238,
431,66,18,0,238,
432,68,18,0,238,
433,75,18,0,238,
434,81,18,0,238,
435,86,18,0,238,
436,99,18,0,238,
437,112,18,0,237,
438,122,18,0,237,
439,130,18,0,237,
440,149,18,0,237,
441,160,18,0,237,
442,179,18,0,237,
443,188,18,0,237,
444,196,18,0,237,
445,206,18,0,237,
446,218,18,0,237,
447,223,18,0,237,
448,228,18,0,237,
449,235,18,0,237,
450,258,18,0,237,
451,262,18,0,237,
452,269,18,0,237,
453,270,20,0,237,
454,264,26,0,237,
455,255,35,0,236,
456,248,47,0,236,
457,258,55,0,236,
458,258,63,0,236,
459,253,67,0,236,
460,262,80,0,236,
461,259,84,0,236,
462,257,86,0,236,
463,256,93,0,236,
464,255,99,0,236,
465,253,104,0,236,
466,249,117,0,236,
467,238,130,0,236,
468,233,140,0,236,
469,227,148,0,236,
470,220,167,0,236,
471,217,178,0,236,
472,206,197,0,236,
473,202,206,0,236,
474,205,214,0,236,
475,199,224,0,236,
476,194,236,0,236,
477,191,241,0,236,
478,190,246,0,236,
479,188,253,0,236,
480,181,276,0,325,
481,178,280,0,325,
482,172,287,0,325,
483,171,290,0,325,
484,171,290,0,325,
485,180,290,0,325,
486,181,295,0,325,
487,170,312,0,325,
488,169,319,0,325,
489,171,320,0,325,
490,162,342,0,325,
491,163,342,0,325,
492,168,342,0,325,
493,170,349,0,325,
494,163,354,0,324,
495,162,357,0,324,
496,153,365,0,324,
497,155,367,0,324,
498,152,373,0,324,
499,149,375,0,324,
500,147,387,0,324,
501,139,395,0,324,
502,134,403,0,324,
503,131,408,0,324,
504,124,419,0,324,
505,123,423,0,324,
506,119,430,0,324,
507,124,432,0,324,
508,123,435,0,323,
509,122,440,0,323,
510,109,457,0,323,
511,112,458,0,322,
512,116,459,0,322,
513,115,461,0,321,
514,117,461,0,321,
515,109,470,0,321,
516,102,476,0,321,
517,95,482,0,321,
518,88,488,0,321,
519,84,491,0,321,
520,66,504,0,321,
521,65,505,0,321,
522,55,510,0,321,
523,49,517,0,321,
524,47,517,0,321,
525,45,518,0,320,
526,41,518,0,320,
527,35,521,0,320,
528,29,524,0,320,
529,29,524,0,320,
530,22,534,0,320,
531,21,534,0,320,
532,18,537,0,320,
533,8,539,0,320,
534,3,543,0,320,
535,4,546,0,320,
536,0,546,2,318,
537,0,546,9,311,
538,0,546,5,315,
539,0,546,6,314,
540,0,546,15,313,
541,0,546,11,317,
542,0,546,14,314,
543,0,546,13,315,
544,0,546,13,315,
545,0,546,12,316,
546,0,546,12,316,
547,0,546,16,312,
548,0,546,18,310,
549,0,546,22,306,
550,0,546,18,310,
551,0,546,17,311,
552,0,546,20,308,
553,0,546,20,308,
554,0,546,20,308,
555,0,546,20,308,
556,0,546,23,305,
557,0,546,21,307,
558,0,546,20,308,
559,0,546,20,308,
560,0,546,18,310,
561,0,546,21,307,
562,0,546,19,309,
563,0,546,20,308,
564,0,546,24,304,
565,0,546,25,303,
566,0,546,19,309,
567,0,546,21,307,
568,0,546,20,308,
569,0,546,23,305,
570,0,546,19,309,
571,0,546,17,311,
572,0,546,17,311,
573,0,546,19,309,
574,0,546,19,309,
575,0,546,17,311,
576,0,546,13,315,
577,0,546,16,312,
578,0,546,14,314,
579,0,546,16,312,
580,0,546,15,313,
581,0,546,13,315,
582,0,546,11,316,
583,0,546,9,318,
584,0,546,9,318,
585,0,546,6,321,
586,0,546,4,323,
587,0,546,7,320,
588,1,546,6,321,
589,3,546,6,321,
590,1,546,6,321,
591,0,546,8,319,
592,4,546,6,321,
593,2,546,5,322,
594,0,546,8,319,
595,1,546,6,321,
596,1,546,4,323,
597,0,546,5,322,
598,0,546,7,320,
599,0,546,14,313,
600,2,546,0,386,
601,0,546,6,380,
602,0,546,6,380,
603,0,546,13,373,
604,0,546,13,373,
605,0,546,9,377,
606,0,546,11,375,
607,0,546,10,376,
608,0,546,14,372,
609,0,546,15,371,
610,0,546,7,379,
611,0,546,9,377,
612,0,546,11,375,
613,0,546,8,378,
614,0,546,9,377,
615,0,546,10,376,
616,0,546,15,371,
617,0,546,10,376,
618,0,546,10,376,
619,0,546,10,376,
620,0,546,9,377,
621,0,546,11,375,
622,0,546,11,375,
623,0,546,8,378,
624,0,546,12,374,
625,0,546,9,377,
626,1,546,6,380,
627,5,546,6,380,
628,7,546,6,380,
629,8,546,5,381,
630,14,546,4,382,
631,13,546,3,383,
632,13,546,4,382,
633,10,546,4,382,
634,9,546,3,383,
635,9,546,3,383,
636,11,546,1,385,
637,10,546,1,385,
638,9,546,1,385,
639,6,546,1,385,
640,6,546,0,386,
641,2,546,0,386,
642,2,546,0,386,
643,4,546,1,385,
644,10,546,1,385,
645,11,546,0,386,
646,11,546,0,386,
647,9,546,0,386,
648,4,546,0,386,
649,4,546,0,386,
650,3,546,0,386,
651,5,546,0,386,
652,5,546,0,386,
653,6,546,0,386,
654,8,546,0,386,
655,11,546,0,386,
656,14,547,0,386,
657,14,548,0,386,
658,20,548,0,386,
659,16,548,0,386,
660,15,548,0,388,
661,16,548,0,388,
662,12,548,0,388,
663,9,548,0,388,
664,14,548,0,388,
665,17,548,0,388,
666,14,548,0,388,
667,17,548,0,388,
668,23,548,0,388,
669,22,548,0,388,
670,28,548,0,388,
671,34,548,0,388,
672,36,548,0,388,
673,35,549,0,388,
674,35,549,0,388,
675,34,549,0,388,
676,34,549,0,388,
677,31,549,0,388,
678,36,549,0,388,
679,38,549,0,388,
680,47,549,0,388,
681,48,551,0,388,
682,54,551,0,388,
683,55,552,0,388,
684,53,554,0,388,
685,59,556,0,388,
686,56,556,0,388,
687,67,556,0,388,
688,67,556,0,388,
689,75,556,0,388,
690,92,556,0,388,
691,99,556,0,388,
692,96,556,0,388,
693,102,556,0,388,
694,106,561,0,388,
695,104,562,0,388,
696,107,562,0,388,
697,102,563,0,388,
698,102,569,0,388,
699,109,569,0,388,
700,113,576,0,388,
701,112,580,0,388,
702,118,580,0,388,
703,121,580,0,388,
704,132,580,0,388,
705,136,580,0,388,
706,147,580,0,388,
707,155,580,0,388,
708,149,585,0,388,
709,149,587,0,388,
710,150,596,0,388,
711,145,599,0,388,
712,146,605,0,388,
713,141,607,0,388,
714,146,607,0,388,
715,152,612,0,388,
716,158,612,0,388,
717,147,623,0,388,
718,155,623,0,387,
719,149,631,0,387,
720,21,648,0,514,
721,25,652,0,513,
722,30,652,0,513,
723,36,658,0,512,
724,38,665,0,512,
725,41,665,0,512,
726,51,665,0,512,
727,54,665,0,512,
728,58,669,0,512,
729,63,669,0,512,
730,67,669,0,512,
731,73,669,0,512,
732,78,669,0,512,
733,83,669,0,512,
734,83,669,0,512,
735,85,669,0,512,
736,89,669,0,512,
737,88,669,0,512,
738,90,669,0,512,
739,90,669,0,512,
740,104,669,0,512,
741,109,669,0,512,
742,118,669,0,512,
743,128,669,0,512,
744,130,669,0,512,
745,139,669,0,511,
746,141,669,0,511,
747,142,669,0,511,
748,140,669,0,511,
749,139,669,0,511,
750,150,669,0,511,
751,149,677,0,511,
752,150,682,0,511,
753,140,693,0,511,
754,128,701,0,511,
755,118,706,0,511,
756,108,716,0,511,
757,98,719,0,511,
758,94,727,0,511,
759,81,732,0,511,
760,85,736,0,511,
761,82,742,0,511,
762,73,747,0,511,
763,64,752,0,510,
764,63,752,0,510,
765,55,754,0,510,
766,53,757,0,510,
767,54,757,0,510,
768,53,759,0,510,
769,54,759,0,510,
770,42,773,0,509,
771,31,778,0,509,
772,26,787,0,509,
773,2,797,2,507,
774,3,799,1,507,
775,1,799,1,506,
776,3,799,0,507,
777,0,799,1,506,
778,0,799,1,506,
779,0,799,6,501,
780,0,799,25,499,
781,0,799,29,495,
782,0,799,26,498,
783,0,799,20,504,
784,0,799,20,504,
785,0,799,22,502,
786,0,799,27,497,
787,0,799,25,499,
788,0,799,27,497,
789,0,799,35,489,
790,0,799,35,489,
791,0,799,35,489,
792,0,799,35,489,
793,0,799,35,489,
794,0,799,34,490,
795,0,799,26,498,
796,0,799,27,497,
797,0,799,23,501,
798,0,799,30,494,
799,0,799,23,501,
800,0,799,19,505,
801,0,799,17,507,
802,0,799,19,505,
803,0,799,20,504,
804,0,799,20,504,
805,0,799,18,506,
806,0,799,13,509,
807,0,799,10,512,
808,0,799,16,506,
809,0,799,13,509,
810,1,799,5,517,
811,1,799,2,520,
812,3,799,1,521,
813,0,799,3,519,
814,0,799,0,522,
815,4,799,0,522,
816,0,799,1,521,
817,3,799,0,522,
818,5,799,0,522,
819,9,799,0,522,
820,26,799,0,522,
821,28,799,0,522,
822,27,799,0,522,
823,27,799,0,522,
824,24,799,0,522,
825,28,799,0,522,
826,30,799,0,522,
827,28,799,0,522,
828,22,799,0,522,
829,24,799,0,522,
830,40,799,0,522,
831,38,799,0,522,
832,40,799,0,522,
833,45,799,0,522,
834,41,799,0,522,
835,44,799,0,522,
836,47,799,0,522,
837,39,799,0,522,
838,41,799,0,522,
839,50,799,0,522,
840,55,799,0,526,
841,66,799,0,526,
842,66,799,0,525,
843,67,799,0,525,
844,75,799,0,525,
845,83,799,0,525,
846,91,799,0,525,
847,87,802,0,525,
848,96,804,0,525,
849,97,808,0,525,
850,89,821,0,525,
851,104,821,0,525,
852,105,821,0,525,
853,105,821,0,525,
854,111,821,0,525,
855,118,821,0,525,
856,122,821,0,525,
857,131,821,0,525,
858,134,821,0,525,
859,135,823,0,524,
860,139,837,0,524,
861,145,837,0,524,
862,149,838,0,524,
863,161,838,0,524,
864,174,838,0,524,
865,183,838,0,524,
866,191,838,0,524,
867,197,838,0,524,
868,203,840,0,524,
869,198,849,0,524,
870,205,854,0,524,
871,195,865,0,524,
872,208,865,0,524,
873,214,866,0,524,
874,215,874,0,524,
875,209,881,0,524,
876,212,889,0,524,
877,212,889,0,524,
878,209,900,0,524,
879,216,905,0,524,
880,224,910,0,524,
881,211,925,0,524,
882,221,926,0,524,
883,215,926,0,524,
884,209,932,0,524,
885,202,939,0,524,
886,207,943,0,524,
887,207,952,0,524,
888,208,955,0,524,
889,207,958,0,524,
890,205,976,0,524,
891,213,980,0,524,
892,209,987,0,524,
893,203,999,0,524,
894,197,1012,0,524,
895,208,1021,0,524,
896,211,1029,0,524,
897,215,1035,0,524,
898,219,1043,0,524,
899,221,1047,0,524,
900,218,1059,0,541,
901,217,1060,0,541,
902,209,1073,0,541,
903,207,1080,0,541,
904,204,1089,0,541,
905,212,1090,0,541,
906,205,1101,0,541,
907,210,1101,0,541,
908,203,1109,0,541,
909,196,1121,0,541,
910,201,1134,0,541,
911,205,1136,0,541,
912,204,1141,0,541,
913,206,1141,0,541,
914,209,1141,0,541,
915,212,1141,0,541,
916,207,1150,0,541,
917,199,1159,0,541,
918,203,1163,0,541,
919,207,1165,0,541,
920,205,1181,0,540,
921,191,1193,0,540,
922,194,1196,0,539,
923,190,1202,0,539,
924,189,1209,0,539,
925,171,1229,0,538,
926,166,1240,0,538,
927,159,1250,0,538,
928,142,1262,0,538,
929,141,1268,0,538,
930,146,1277,0,538,
931,149,1277,0,538,
932,142,1282,0,538,
933,136,1287,0,538,
934,129,1293,0,538,
935,129,1302,0,538,
936,121,1306,0,538,
937,113,1311,0,538,
938,103,1312,0,538,
939,107,1317,0,538,
940,105,1334,0,538,
941,94,1341,0,538,
942,88,1345,0,538,
943,83,1347,0,538,
944,90,1350,0,538,
945,85,1353,0,538,
946,79,1357,0,538,
947,73,1358,0,538,
948,70,1366,0,538,
949,65,1372,0,537,
950,58,1384,0,537,
951,59,1384,0,537,
952,51,1389,0,537,
953,44,1392,0,537,
954,34,1398,0,537,
955,29,1400,0,537,
956,24,1404,0,532,
957,22,1404,0,529,
958,14,1404,0,525,
959,13,1409,0,523,
960,4,1415,0,535,
961,10,1415,0,530,
962,7,1415,0,526,
963,11,1415,0,520,
964,9,1415,0,517,
965,9,1415,0,515,
966,7,1415,0,514,
967,3,1415,0,512,
968,6,1415,0,508,
969,7,1417,1,506,
970,14,1417,0,507,
971,11,1417,0,505,
972,11,1417,0,500,
973,10,1417,0,499,
974,12,1417,1,495,
975,12,1417,1,493,
976,10,1417,0,491,
977,11,1417,0,485,
978,13,1417,0,483,
979,12,1417,0,480,
980,11,1417,0,479,
981,11,1417,0,472,
982,15,1417,0,470,
983,17,1417,0,469,
984,13,1417,0,466,
985,13,1417,0,462,
986,13,1417,0,459,
987,12,1417,0,457,
988,13,1417,0,454,
989,18,1417,0,452,
990,23,1417,0,449,
991,27,1417,0,446,
992,30,1417,0,443,
993,35,1417,0,441,
994,34,1417,0,441,
995,37,1417,0,441,
996,40,1417,0,437,
997,36,1417,0,432,
998,31,1421,0,430,
999,26,1424,0,428,
1000,26,1427,0,425,
1001,27,1427,0,423,
1002,20,1427,0,422,
1003,23,1427,0,420,
1004,26,1427,0,417,
1005,26,1427,0,412,
1006,21,1427,0,409,
1007,20,1427,0,406,
1008,16,1427,0,402,
1009,12,1427,0,395,
1010,12,1427,0,393,
1011,12,1427,0,392,
1012,13,1429,0,390,
1013,15,1429,0,388,
1014,14,1429,0,385,
1015,12,1429,0,384,
1016,13,1429,0,381,
1017,10,1429,0,376,
1018,7,1430,0,374,
1019,2,1434,0,368,
1020,10,1436,0,371,
1021,10,1436,0,367,
1022,9,1436,0,366,
1023,13,1436,0,364,
1024,15,1436,0,363,
1025,20,1436,0,360,
1026,25,1436,0,356,
1027,25,1436,0,352,
1028,24,1436,0,350,
