time,waiting_passenger_cnt,fail_passenger_cnt,empty_vehicle_cnt,driving_vehicle_cnt,iter_time(second)
360,0,0,13,17,
361,0,0,7,23,
362,4,0,0,30,
363,4,0,0,30,
364,5,0,0,30,
365,7,0,0,30,
366,8,0,0,30,
367,9,0,0,30,
368,10,0,0,30,
369,10,0,0,30,
370,12,0,0,30,
371,12,0,0,30,
372,13,0,0,30,
373,13,0,0,30,
374,14,0,0,30,
375,14,0,0,30,
376,16,0,0,30,
377,17,0,0,30,
378,17,0,0,30,
379,18,0,0,30,
380,20,0,0,30,
381,21,0,0,30,
382,21,0,0,30,
383,22,0,0,30,
384,23,0,0,30,
385,23,0,0,30,
386,23,0,0,30,
387,23,0,0,30,
388,25,0,0,30,
389,26,0,0,30,
390,35,0,0,30,
391,38,0,0,30,
392,36,4,0,30,
393,39,4,0,30,
394,41,5,0,30,
395,41,7,0,30,
396,42,8,0,30,
397,38,9,0,30,
398,35,10,0,30,
399,36,10,0,30,
400,37,12,0,30,
401,37,12,0,30,
402,37,13,0,30,
403,38,13,0,30,
404,36,14,0,30,
405,38,14,0,30,
406,35,16,0,30,
407,36,17,0,30,
408,40,17,0,30,
409,40,18,0,30,
410,43,20,0,30,
411,51,21,0,30,
412,50,21,0,30,
413,49,22,0,30,
414,51,23,0,30,
415,53,23,0,30,
416,56,23,0,30,
417,62,23,0,30,
418,61,25,0,30,
419,64,26,0,30,
420,0,35,13,227,
421,0,35,4,235,
422,3,35,3,236,
423,5,35,0,239,
424,13,35,0,239,
425,26,35,0,239,
426,37,35,0,239,
427,43,35,0,239,
428,52,35,0,238,
429,54,35,0,238,
430,72,35,0,238,
431,76,35,0,238,
432,78,35,0,237,
433,91,35,0,237,
434,95,35,0,237,
435,102,35,0,237,
436,114,35,0,237,
437,122,35,0,237,
438,132,35,0,237,
439,137,35,0,237,
440,154,35,0,237,
441,161,35,0,237,
442,174,35,0,237,
443,181,35,0,237,
444,189,35,0,237,
445,202,35,0,237,
446,211,35,0,237,
447,223,35,0,237,
448,230,35,0,237,
449,238,35,0,237,
450,256,35,0,237,
451,261,35,0,237,
452,266,38,0,237,
453,269,40,0,237,
454,274,48,0,236,
455,270,61,0,236,
456,263,72,0,235,
457,263,78,0,235,
458,268,87,0,235,
459,263,89,0,235,
460,259,107,0,235,
461,265,111,0,235,
462,266,113,0,234,
463,258,126,0,234,
464,259,130,0,234,
465,251,137,0,234,
466,245,149,0,234,
467,245,157,0,234,
468,246,167,0,234,
469,244,172,0,234,
470,237,189,0,234,
471,234,196,0,234,
472,231,209,0,234,
473,232,216,0,234,
474,231,224,0,234,
475,219,237,0,234,
476,224,246,0,234,
477,215,258,0,234,
478,210,265,0,234,
479,205,273,0,234,
480,206,291,0,323,
481,205,296,0,323,
482,198,304,0,323,
483,197,309,0,323,
484,188,322,0,323,
485,181,331,0,323,
486,181,335,0,323,
487,180,341,0,323,
488,171,352,0,323,
489,182,352,0,323,
490,175,366,0,323,
491,173,376,0,323,
492,175,379,0,323,
493,176,384,0,323,
494,174,388,0,323,
495,179,388,0,323,
496,173,394,0,323,
497,170,402,0,323,
498,158,413,0,323,
499,154,416,0,323,
500,156,426,0,323,
501,154,430,0,323,
502,146,440,0,323,
503,142,448,0,323,
504,137,455,0,323,
505,133,456,0,323,
506,122,470,0,323,
507,124,473,0,323,
508,127,475,0,323,
509,127,477,0,323,
510,116,497,0,323,
511,108,501,0,323,
512,104,502,0,323,
513,104,506,0,323,
514,102,510,0,323,
515,99,512,0,322,
516,95,516,0,322,
517,92,521,0,321,
518,90,523,0,320,
519,79,534,0,320,
520,80,541,0,320,
521,70,549,0,320,
522,62,554,0,320,
523,56,560,0,320,
524,51,562,0,320,
525,44,567,0,320,
526,41,567,0,320,
527,33,570,0,320,
528,30,570,0,320,
529,32,570,0,320,
530,16,582,0,320,
531,15,584,0,320,
532,6,586,0,320,
533,8,589,0,320,
534,4,589,1,319,
535,3,589,2,318,
536,0,590,2,317,
537,1,590,2,317,
538,0,590,9,310,
539,0,590,10,309,
540,0,590,17,310,
541,0,590,13,314,
542,0,590,13,314,
543,0,590,18,309,
544,0,590,16,311,
545,0,590,17,310,
546,0,590,10,317,
547,0,590,10,317,
548,0,590,13,314,
549,2,590,8,319,
550,5,590,7,320,
551,5,590,6,321,
552,6,590,7,320,
553,1,590,7,320,
554,3,590,7,320,
555,5,590,8,319,
556,5,590,7,320,
557,0,590,8,319,
558,0,590,7,320,
559,0,590,12,315,
560,0,590,11,316,
561,0,590,8,319,
562,0,590,10,317,
563,0,590,10,317,
564,0,590,12,315,
565,0,590,12,315,
566,0,590,9,318,
567,0,590,10,317,
568,0,590,9,318,
569,0,590,10,317,
570,1,590,2,325,
571,0,590,8,319,
572,0,590,9,318,
573,0,590,10,317,
574,0,590,12,315,
575,0,590,14,313,
576,0,590,15,312,
577,0,590,22,305,
578,0,590,22,305,
579,0,590,18,309,
580,0,590,20,307,
581,0,590,20,307,
582,0,590,26,301,
583,0,590,26,301,
584,0,590,26,301,
585,0,590,28,299,
586,0,590,31,296,
587,0,590,28,299,
588,0,590,25,302,
589,0,590,27,300,
590,0,590,31,296,
591,0,590,37,290,
592,0,590,38,289,
593,0,590,39,288,
594,0,590,37,290,
595,0,590,37,290,
596,0,590,39,288,
597,0,590,40,287,
598,0,590,43,284,
599,0,590,41,286,
600,0,590,44,342,
601,0,590,39,347,
602,0,590,36,350,
603,0,590,42,344,
604,0,590,38,348,
605,0,590,41,345,
606,0,590,35,351,
607,0,590,32,354,
608,0,590,34,352,
609,0,590,28,358,
610,0,590,28,358,
611,0,590,35,351,
612,0,590,33,353,
613,0,590,33,353,
614,0,590,33,353,
615,0,590,27,359,
616,0,590,24,362,
617,0,590,26,360,
618,0,590,25,361,
619,0,590,22,364,
620,0,590,25,361,
621,0,590,31,355,
622,0,590,32,354,
623,0,590,36,350,
624,0,590,33,353,
625,0,590,34,352,
626,0,590,37,349,
627,0,590,37,349,
628,0,590,36,350,
629,0,590,30,356,
630,0,590,24,362,
631,0,590,19,367,
632,0,590,18,368,
633,0,590,16,370,
634,0,590,18,368,
635,0,590,14,372,
636,0,590,16,370,
637,0,590,14,372,
638,0,590,17,369,
639,0,590,22,364,
