time,waiting_passenger_cnt,fail_passenger_cnt,empty_vehicle_cnt,driving_vehicle_cnt,iter_time(second)
360,0,0,18,12,
361,0,0,7,23,
362,0,0,6,24,
363,0,0,5,25,
364,0,0,4,26,
365,0,0,3,27,
366,0,0,0,30,
367,1,0,0,30,
368,2,0,0,30,
369,3,0,0,30,
370,3,0,0,30,
371,5,0,0,30,
372,7,0,0,30,
373,9,0,0,30,
374,9,0,0,30,
375,11,0,0,30,
376,12,0,0,30,
377,12,0,0,30,
378,13,0,0,30,
379,17,0,0,30,
380,17,0,0,30,
381,17,0,0,30,
382,17,0,0,30,
383,19,0,0,30,
384,20,0,0,30,
385,22,0,0,30,
386,23,0,0,30,
387,23,0,0,30,
388,23,0,0,30,
389,26,0,0,30,
390,39,0,0,30,
391,43,0,0,30,
392,43,0,0,30,
393,44,0,0,30,
394,44,0,0,30,
395,46,0,0,30,
396,48,0,0,30,
397,48,1,0,30,
398,46,2,0,30,
399,43,3,0,30,
400,44,3,0,30,
401,42,5,0,30,
402,42,7,0,30,
403,40,9,0,30,
404,41,9,0,30,
405,39,11,0,30,
406,37,12,0,30,
407,40,12,0,30,
408,38,13,0,30,
409,35,17,0,30,
410,38,17,0,30,
411,42,17,0,30,
412,44,17,0,30,
413,43,19,0,30,
414,46,20,0,30,
415,48,22,0,30,
416,52,23,0,30,
417,56,23,0,29,
418,59,23,0,28,
419,60,26,0,28,
420,0,38,5,233,
421,7,38,2,236,
422,11,38,0,238,
423,16,38,0,238,
424,26,38,0,238,
425,35,38,0,237,
426,44,38,0,237,
427,51,38,0,237,
428,57,38,0,236,
429,59,38,0,236,
430,80,38,0,236,
431,82,38,0,236,
432,89,38,0,236,
433,98,38,0,236,
434,102,38,0,236,
435,108,38,0,236,
436,113,38,0,236,
437,117,38,0,236,
438,123,38,0,236,
439,127,38,0,236,
440,148,38,0,235,
441,157,38,0,235,
442,169,38,0,235,
443,185,38,0,235,
444,197,38,0,235,
445,216,38,0,235,
446,226,38,0,234,
447,235,38,0,234,
448,240,38,0,234,
449,248,38,0,234,
450,266,38,0,234,
451,270,45,0,234,
452,281,49,0,234,
453,284,54,0,234,
454,271,64,0,234,
455,265,73,0,234,
456,255,82,0,234,
457,255,89,0,234,
458,265,95,0,234,
459,271,97,0,234,
460,270,118,0,234,
461,269,120,0,234,
462,268,127,0,234,
463,262,136,0,234,
464,263,140,0,234,
465,273,146,0,234,
466,269,151,0,234,
467,267,155,0,234,
468,256,161,0,234,
469,260,165,0,234,
470,264,186,0,234,
471,267,195,0,234,
472,256,207,0,234,
473,244,223,0,234,
474,233,235,0,234,
475,221,254,0,234,
476,220,264,0,234,
477,208,273,0,234,
478,211,278,0,234,
479,211,286,0,234,
480,208,304,0,323,
481,198,315,0,323,
482,184,330,0,323,
483,181,335,0,323,
484,184,335,0,323,
485,188,337,0,323,
486,193,337,0,323,
487,185,344,0,323,
488,170,360,0,323,
489,160,368,0,322,
490,152,388,0,322,
491,154,389,0,322,
492,155,395,0,322,
493,156,398,0,322,
