time,waiting_passenger_cnt,fail_passenger_cnt,empty_vehicle_cnt,driving_vehicle_cnt,iter_time(second)
360,0,0,23,7,
361,0,0,19,11,
362,0,0,8,22,
363,0,0,3,27,
364,0,0,2,28,
365,1,0,2,28,
366,2,0,2,28,
367,3,0,2,28,
368,4,0,1,29,
369,4,0,1,29,
370,4,0,1,29,
371,4,0,0,30,
372,5,0,0,30,
373,6,0,0,30,
374,8,0,0,30,
375,9,0,0,30,
376,9,0,0,30,
377,9,0,0,30,
378,9,0,0,30,
379,11,0,0,30,
380,12,0,0,30,
381,12,0,0,30,
382,13,0,0,30,
383,16,0,0,30,
384,17,0,0,30,
385,18,0,0,30,
386,20,0,0,30,
387,20,0,0,30,
388,20,0,0,30,
389,21,0,0,30,
390,35,0,0,30,
391,35,0,0,30,
392,35,0,0,30,
393,35,0,0,30,
394,35,0,0,30,
395,36,1,0,30,
396,37,2,0,30,
397,38,3,0,30,
398,38,4,0,30,
399,38,4,0,30,
400,37,4,0,30,
401,38,4,0,30,
402,37,5,0,30,
403,37,6,0,30,
404,34,8,0,30,
405,34,9,0,30,
406,36,9,0,30,
407,38,9,0,30,
408,37,9,0,30,
409,34,11,0,30,
410,38,12,0,30,
411,40,12,0,30,
412,42,13,0,30,
413,40,16,0,30,
414,42,17,0,30,
415,46,18,0,30,
416,51,20,0,30,
417,55,20,0,30,
418,60,20,0,29,
419,64,21,0,29,
420,0,35,28,211,
421,0,35,20,219,
422,0,35,18,221,
423,0,35,11,228,
424,0,35,5,234,
425,13,35,0,239,
426,23,35,0,239,
427,31,35,0,238,
428,36,35,0,238,
429,38,35,0,238,
430,63,35,0,238,
431,67,35,0,238,
432,76,35,0,238,
433,81,35,0,238,
434,82,35,0,238,
435,89,35,0,238,
436,97,35,0,238,
437,103,35,0,238,
438,112,35,0,238,
439,120,35,0,238,
440,144,35,0,238,
441,153,35,0,238,
442,170,35,0,238,
443,179,35,0,238,
444,187,35,0,238,
445,193,35,0,238,
446,204,35,0,238,
447,209,35,0,238,
448,216,35,0,238,
449,224,35,0,238,
450,250,35,0,238,
451,254,35,0,238,
452,262,35,0,238,
453,271,35,0,237,
454,271,35,0,237,
455,263,48,0,237,
456,257,58,0,237,
457,257,66,0,237,
458,258,70,0,237,
459,257,73,0,237,
460,251,98,0,237,
461,253,102,0,237,
462,249,111,0,237,
463,250,116,0,237,
464,256,117,0,237,
465,254,124,0,237,
466,252,132,0,237,
467,251,138,0,236,
468,244,147,0,236,
469,242,155,0,236,
470,229,179,0,236,
471,232,188,0,236,
472,220,205,0,236,
473,219,214,0,236,
474,216,222,0,236,
475,214,228,0,236,
476,208,239,0,236,
477,207,244,0,235,
478,204,251,0,235,
479,203,259,0,235,
480,170,285,0,324,
481,168,289,0,324,
482,162,297,0,324,
483,152,306,0,324,
484,153,306,0,324,
485,152,311,0,324,
486,150,315,0,324,
487,148,323,0,323,
488,147,328,0,323,
489,149,330,0,323,
490,139,349,0,323,
491,134,355,0,323,
492,130,360,0,323,
493,128,366,0,323,
494,120,373,0,323,
495,119,378,0,323,
496,116,384,0,323,
497,112,389,0,323,
498,106,391,0,323,
499,105,397,0,323,
500,99,408,0,322,
501,90,420,0,322,
502,87,425,0,322,
503,80,433,0,322,
504,75,438,0,322,
505,80,441,0,322,
506,79,446,0,322,
507,80,447,0,322,
508,81,451,0,322,
509,75,455,0,322,
510,80,455,0,322,
511,81,457,0,322,
512,83,458,0,322,
513,81,458,0,322,
514,85,459,0,322,
515,81,463,0,322,
516,81,465,0,322,
517,73,471,0,322,
518,70,475,0,322,
519,68,479,0,322,
520,61,488,0,322,
521,63,489,0,322,
522,64,490,0,322,
523,63,493,0,322,
524,61,493,0,322,
525,53,497,0,321,
526,54,497,0,321,
527,48,497,0,321,
528,45,497,0,321,
529,45,501,0,321,
530,40,506,0,321,
531,30,510,0,321,
532,29,511,0,321,
533,25,513,0,321,
534,24,513,0,321,
535,17,521,0,321,
536,6,525,0,321,
537,4,526,0,321,
538,1,530,2,319,
539,0,530,3,318,
540,0,530,1,328,
541,0,530,2,327,
542,0,530,2,327,
543,0,530,0,329,
544,2,530,0,329,
545,2,530,0,329,
546,0,530,1,327,
547,0,530,4,324,
548,0,530,6,322,
549,0,530,3,325,
550,0,530,1,327,
551,0,530,2,326,
552,0,530,3,325,
553,0,530,6,322,
554,0,530,5,323,
555,1,530,1,327,
556,0,530,3,325,
557,0,530,7,321,
558,0,530,5,323,
559,0,530,6,322,
560,0,530,4,324,
561,0,530,10,318,
562,0,530,11,317,
563,0,530,11,317,
564,0,530,6,322,
565,0,530,8,320,
566,0,530,13,315,
567,0,530,13,315,
568,0,530,14,314,
569,0,530,21,307,
570,0,530,16,312,
571,0,530,18,310,
572,0,530,17,311,
573,0,530,19,309,
574,0,530,20,308,
575,0,530,21,306,
576,0,530,25,302,
577,0,530,26,301,
578,0,530,29,298,
579,0,530,35,292,
580,0,530,30,297,
581,0,530,31,296,
582,0,530,26,301,
583,0,530,24,303,
584,0,530,26,301,
585,0,530,28,299,
586,0,530,29,298,
587,0,530,30,297,
588,0,530,26,301,
589,0,530,28,299,
590,0,530,28,299,
591,0,530,33,294,
592,0,530,36,291,
593,0,530,35,292,
594,0,530,30,297,
595,0,530,30,297,
596,0,530,29,298,
597,0,530,30,297,
598,0,530,32,295,
599,0,530,30,297,
600,11,530,0,386,
601,7,530,0,386,
602,7,530,0,386,
603,6,530,0,386,
604,10,530,0,386,
605,7,530,0,386,
606,12,530,0,386,
607,9,530,0,386,
608,10,530,0,386,
609,13,530,0,386,
610,15,530,0,386,
611,18,530,0,386,
612,14,530,0,386,
613,15,530,0,386,
614,9,530,0,386,
615,9,530,0,386,
616,10,530,0,386,
617,11,530,0,386,
618,16,530,0,386,
619,10,530,0,386,
620,12,530,0,386,
621,10,530,0,386,
622,11,530,0,386,
623,9,530,0,386,
624,13,530,0,386,
625,15,530,0,386,
626,10,530,0,386,
627,17,530,1,385,
628,17,530,0,386,
629,19,530,0,386,
630,25,530,0,386,
631,25,530,0,386,
632,29,530,0,386,
633,25,531,0,386,
634,25,533,0,386,
635,28,533,0,386,
636,27,535,0,386,
637,24,535,0,386,
638,18,535,0,386,
639,13,536,0,386,
640,13,536,0,386,
641,15,536,0,386,
642,12,536,0,386,
643,18,536,0,386,
644,15,536,0,386,
645,14,538,0,386,
646,12,538,0,386,
647,12,538,0,386,
648,11,538,0,386,
649,16,538,0,386,
650,23,538,0,386,
651,22,538,0,386,
652,18,538,0,386,
653,26,538,0,386,
654,26,540,0,386,
655,21,540,0,386,
656,21,540,0,386,
657,9,547,0,386,
658,13,547,0,386,
659,11,548,0,386,
660,16,548,0,388,
661,22,548,0,388,
662,23,548,0,388,
663,28,548,0,388,
664,30,548,0,388,
665,31,548,0,388,
666,34,548,0,388,
667,33,548,0,388,
668,32,548,0,388,
669,34,548,0,388,
670,52,548,0,388,
671,58,548,0,388,
672,55,548,0,388,
673,58,548,0,388,
674,72,548,0,388,
675,78,548,0,388,
676,79,548,0,388,
677,84,548,0,388,
678,85,548,0,388,
679,85,554,0,388,
680,86,556,0,388,
681,91,556,0,388,
682,93,556,0,388,
683,92,556,0,388,
684,94,556,0,388,
685,103,556,0,388,
686,105,556,0,388,
687,114,556,0,388,
688,110,559,0,388,
689,120,559,0,388,
690,130,564,0,388,
691,127,570,0,388,
692,132,571,0,388,
693,133,574,0,388,
694,135,578,0,388,
695,139,579,0,388,
696,143,580,0,388,
697,147,580,0,388,
698,151,580,0,388,
699,154,582,0,388,
700,142,600,0,388,
701,142,603,0,388,
702,145,603,0,388,
703,145,606,0,388,
704,139,620,0,388,
705,144,625,0,388,
706,149,627,0,388,
707,148,631,0,388,
708,147,633,0,388,
709,147,639,0,388,
710,146,642,0,388,
711,147,647,0,388,
712,154,648,0,388,
713,161,648,0,388,
714,160,650,0,388,
715,156,659,0,388,
716,155,661,0,388,
717,151,669,0,388,
718,158,669,0,387,
719,149,679,0,387,
720,21,694,0,514,
721,22,697,0,513,
722,19,703,0,513,
723,19,707,0,513,
724,26,713,0,513,
725,25,715,0,513,
726,30,715,0,513,
727,42,715,0,513,
728,42,715,0,513,
729,47,715,0,513,
730,52,715,0,513,
731,45,715,0,513,
732,47,715,0,513,
733,46,715,0,513,
734,46,715,0,513,
735,56,715,0,513,
736,60,715,0,513,
737,64,715,0,513,
738,70,715,0,513,
739,73,715,0,513,
740,86,715,0,513,
741,92,715,0,513,
742,105,715,0,513,
743,104,715,0,513,
744,109,715,0,513,
745,103,715,0,513,
746,112,715,0,513,
747,116,715,0,513,
748,114,715,0,513,
749,110,715,0,513,
750,123,715,0,513,
751,134,719,0,512,
752,135,722,0,512,
753,129,726,0,512,
754,108,739,0,511,
755,107,740,0,511,
756,96,745,0,511,
757,81,755,0,511,
758,69,756,0,511,
759,59,760,0,511,
760,59,760,0,511,
761,61,760,0,511,
762,58,761,0,510,
763,60,761,0,510,
764,60,761,0,510,
765,44,771,0,510,
766,37,775,0,510,
767,32,778,0,509,
768,24,785,0,509,
769,16,788,0,509,
770,9,801,0,509,
771,0,804,1,508,
772,0,804,7,502,
773,0,804,11,498,
774,0,804,11,498,
775,0,804,11,498,
776,0,804,12,497,
777,0,804,10,499,
778,0,804,10,499,
779,0,804,8,501,
780,0,804,22,504,
781,0,804,23,503,
782,0,804,17,509,
783,0,804,20,506,
784,0,804,9,517,
785,0,804,6,520,
786,0,804,6,520,
787,0,804,4,522,
788,1,804,3,523,
789,6,804,0,526,
790,14,804,0,526,
791,15,804,0,526,
792,19,804,0,526,
793,24,804,0,526,
794,19,804,0,526,
795,18,804,0,526,
796,25,804,0,526,
797,24,804,0,526,
798,28,804,0,526,
799,32,804,0,526,
800,34,804,0,526,
801,35,804,0,526,
802,37,804,0,525,
803,40,804,0,525,
804,39,804,0,525,
805,40,804,0,525,
806,44,804,0,525,
807,37,804,0,525,
808,37,804,0,525,
809,35,804,0,525,
810,36,804,0,525,
811,35,804,0,525,
812,33,804,0,525,
813,37,804,0,525,
814,34,804,0,525,
815,29,804,0,525,
816,31,804,0,525,
817,22,804,0,525,
818,25,805,0,525,
819,18,810,0,525,
820,15,816,0,524,
821,18,816,0,524,
822,14,820,0,524,
823,6,820,0,524,
824,10,820,1,523,
825,14,820,0,524,
826,11,826,0,524,
827,8,826,0,524,
828,13,826,0,524,
829,14,826,0,524,
830,24,826,0,524,
831,31,826,0,524,
832,35,826,0,524,
833,40,826,0,524,
834,47,826,0,524,
835,45,826,0,524,
836,45,826,0,524,
837,44,826,0,524,
838,40,826,0,524,
839,35,826,0,524,
840,38,826,0,528,
841,45,826,0,528,
842,58,826,0,527,
843,73,826,0,527,
844,85,826,0,526,
845,98,826,0,525,
846,106,826,0,525,
847,112,826,0,525,
848,125,826,0,525,
849,127,826,0,525,
850,136,826,0,525,
851,146,826,0,525,
852,151,826,0,525,
853,158,826,0,525,
854,165,830,0,525,
855,168,834,0,525,
856,177,834,0,525,
857,177,834,0,525,
858,180,839,0,525,
859,184,840,0,525,
860,184,850,0,525,
861,180,857,0,525,
862,189,861,0,525,
863,198,861,0,525,
864,205,861,0,525,
865,213,861,0,525,
866,223,861,0,525,
867,216,861,0,525,
868,223,861,0,525,
869,229,861,0,525,
870,237,864,0,525,
871,240,871,0,525,
872,244,884,0,525,
873,235,899,0,525,
874,222,911,0,525,
875,215,924,0,525,
876,219,932,0,525,
877,222,938,0,525,
878,216,951,0,525,
879,219,953,0,525,
880,216,962,0,525,
881,214,972,0,525,
882,217,977,0,525,
883,213,984,0,525,
884,210,995,0,525,
885,219,1002,0,525,
886,225,1011,0,525,
887,225,1011,0,525,
888,223,1019,0,524,
889,220,1024,0,524,
890,223,1034,0,524,
891,236,1037,0,524,
892,233,1050,0,524,
893,226,1059,0,524,
894,220,1066,0,524,
895,210,1074,0,524,
896,209,1077,0,524,
897,213,1077,0,524,
898,212,1084,0,524,
899,210,1090,0,523,
900,210,1101,0,540,
901,206,1111,0,540,
902,206,1128,0,540,
903,210,1133,0,540,
904,219,1133,0,540,
905,220,1139,0,540,
906,217,1151,0,540,
907,208,1160,0,540,
908,203,1167,0,540,
909,202,1172,0,539,
910,215,1178,0,539,
911,215,1185,0,539,
912,213,1193,0,539,
913,218,1197,0,539,
914,212,1205,0,539,
915,201,1221,0,539,
916,193,1235,0,538,
917,195,1235,0,538,
918,195,1242,0,538,
919,190,1244,0,538,
920,204,1257,0,538,
921,194,1273,0,538,
922,192,1283,0,538,
923,193,1284,0,538,
924,197,1284,0,538,
925,202,1284,0,538,
926,201,1286,0,538,
927,209,1290,0,538,
928,204,1296,0,538,
929,199,1300,0,538,
930,197,1311,0,538,
931,195,1317,0,538,
932,182,1334,0,538,
933,179,1343,0,538,
934,172,1352,0,538,
935,165,1359,0,538,
936,159,1368,0,538,
937,166,1368,0,537,
938,169,1369,0,537,
939,163,1374,0,537,
940,152,1393,0,537,
941,139,1400,0,537,
942,128,1406,0,537,
943,123,1415,0,537,
944,120,1417,0,537,
945,108,1422,0,537,
946,104,1428,0,537,
947,96,1430,0,537,
948,97,1434,0,537,
949,95,1434,0,537,
950,69,1461,0,537,
951,71,1467,0,537,
952,60,1475,0,536,
953,54,1477,0,536,
954,49,1481,0,536,
955,48,1486,0,536,
956,51,1487,0,530,
957,44,1499,0,524,
958,50,1499,0,519,
959,50,1499,0,516,
960,34,1507,0,527,
961,32,1512,0,523,
962,24,1516,0,519,
