time,waiting_passenger_cnt,fail_passenger_cnt,empty_vehicle_cnt,driving_vehicle_cnt,iter_time(second)
360,0,0,16,14,
361,0,0,8,22,
362,0,0,4,26,
363,2,0,0,30,
364,3,0,0,30,
365,7,0,0,30,
366,7,0,0,30,
367,10,0,0,30,
368,10,0,0,30,
369,11,0,0,30,
370,12,0,0,30,
371,12,0,0,30,
372,13,0,0,30,
373,14,0,0,30,
374,15,0,0,30,
375,17,0,0,30,
376,18,0,0,30,
377,19,0,0,30,
378,20,0,0,30,
379,21,0,0,30,
380,23,0,0,30,
381,25,0,0,30,
382,27,0,0,30,
383,28,0,0,30,
384,28,0,0,30,
385,29,0,0,30,
386,30,0,0,30,
387,32,0,0,30,
388,34,0,0,30,
389,34,0,0,30,
390,39,0,0,30,
391,42,0,0,30,
392,43,0,0,30,
393,43,2,0,30,
394,42,3,0,30,
395,39,7,0,30,
396,40,7,0,30,
397,38,10,0,30,
398,42,10,0,30,
399,43,11,0,30,
400,46,12,0,30,
401,47,12,0,30,
402,47,13,0,30,
403,44,14,0,30,
404,42,15,0,30,
405,42,17,0,30,
406,42,18,0,30,
407,41,19,0,30,
408,44,20,0,30,
409,45,21,0,30,
410,47,23,0,30,
411,49,25,0,30,
412,53,27,0,30,
413,51,28,0,30,
414,51,28,0,30,
415,53,29,0,30,
416,59,30,0,29,
417,60,32,0,29,
418,60,34,0,29,
419,64,34,0,29,
420,10,39,0,239,
421,16,42,0,239,
422,21,43,0,239,
423,29,45,0,239,
424,38,45,0,239,
425,46,46,0,239,
426,53,47,0,239,
427,55,48,0,239,
428,54,49,0,239,
429,59,49,0,239,
430,75,49,0,239,
431,81,49,0,239,
432,83,49,0,239,
433,92,49,0,239,
434,98,49,0,238,
435,108,49,0,238,
436,116,49,0,238,
437,122,49,0,238,
438,134,49,0,238,
439,143,49,0,238,
440,178,49,0,237,
441,187,49,0,237,
442,201,49,0,237,
443,215,49,0,237,
444,222,49,0,237,
445,232,49,0,237,
446,246,49,0,237,
447,262,49,0,237,
448,268,49,0,237,
449,273,49,0,237,
450,301,49,0,237,
